mv_id,mv_name,mv_author,mv_desc,mv_pic,playCount,publishTime,mv_url_240,mv_url_480,mv_url_720,mv_url_1080
10866251,ME!,Taylor Swift,Taylor Swift携手Brendon Urie回归新单《ME!》音乐录像带上线！从蛇到蝶的蜕变，从黑白到炫彩的着色，她编织甜腻绮丽的梦幻空间，歌颂着每一个独一无二的个性。要接纳更好的自己，因为你无可取代。,http://p1.music.126.net/x3juaZgk33hZfmp9UqnZCQ==/109951164031656279.jpg,347万,2019-04-26,http://vodkgeyttp8.vod.126.net/cloudmusic/f944/core/5f3e/42abe0f30fde8d0228f4d2c54021a63c.mp4?wsSecret=1e389b2b384e1bcccf1b63f5c94fc1ba&wsTime=1557752206,http://vodkgeyttp8.vod.126.net/cloudmusic/f944/core/5f3e/78b9ba9f2e09a410a51893f1be4792f5.mp4?wsSecret=d901deece4909be0ef1d17605e53b41f&wsTime=1557752206,,http://vodkgeyttp8.vod.126.net/cloudmusic/f944/core/5f3e/163e975ecf37f1913561efa271d51b58.mp4?wsSecret=a4b108eda7d165f4387d043b1f24d952&wsTime=1557752206
503185,Love Story,Taylor Swift,,http://p1.music.126.net/mGqjCe2UhHt7wgOCY9UZ1w==/3295236351119274.jpg,1186万,2009-06-16,http://vodkgeyttp8.vod.126.net/cloudmusic/M2IgNDBiImAgISAhJCBgMA==/mv/503185/55a95c8347cd68baf47964eb3c637faa.mp4?wsSecret=b5efa0418c68e2acbc1552ff3f4d16dd&wsTime=1557752207,http://vodkgeyttp8.vod.126.net/cloudmusic/M2IgNDBiImAgISAhJCBgMA==/mv/503185/2f1bfa93f8dfb7abad735224954fae6d.mp4?wsSecret=05d8745b05b7e6119af90eb14bd78179&wsTime=1557752207,,
5647227,Look What You Made Me Do,Taylor Swift,霉霉全新MV《Look What You Made Me Do》发布！ 霉霉MV中多种造型亮相，造型彻底黑化，亲手安葬过去的清纯霉。,http://p1.music.126.net/_n5bnOjfCWI5USfGE8cerg==/109951163018611090.jpg,2672万,2017-08-27,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20170828093240/5c4e8c88-c6b3-4886-be70-912523d2931c/93ac621b3d9c3f4f3bf7ad44c60c59fa.mp4?wsSecret=edaa2af554a9f085ffcfdf4376ba5473&wsTime=1557752208,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20170828093240/5c4e8c88-c6b3-4886-be70-912523d2931c/c0b0219645f4115dc798c4b658836291.mp4?wsSecret=e7321991d20b7ab23279e5c96503ba18&wsTime=1557752208,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20170828093240/5c4e8c88-c6b3-4886-be70-912523d2931c/c61a840d3c70d28bc4c4d7632097cd55.mp4?wsSecret=06371c9b8fe82be57a27fb61e54ef932&wsTime=1557752208,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20170828093240/5c4e8c88-c6b3-4886-be70-912523d2931c/490a186661fbc90be84193b8a032ee35.mp4?wsSecret=c4f6198847bbc5a410a34914ea465cf0&wsTime=1557752208
10866259,Taylor Swift携新单独家问候云村村民,Taylor Swift,10座格莱美大奖得主Taylor Swift携新单《ME!》强势回归！全新单曲泰勒特邀Panic! At The Disco乐队主唱Brendon Urie助阵，并喊话云村村民收听新歌，支持回归的全新专辑！,http://p1.music.126.net/aIuqZhZ71PIzgrtjS1rrKg==/109951164026234262.jpg,108万,2019-04-26,http://vodkgeyttp8.vod.126.net/cloudmusic/da20/core/d9da/5ed6c905987892a322819a434599a812.mp4?wsSecret=57eb33b0a37873a39a3e52ec4675ee98&wsTime=1557752209,http://vodkgeyttp8.vod.126.net/cloudmusic/da20/core/d9da/8402603e75befb2b5d417d4aba727849.mp4?wsSecret=6b5bfd9c369ad6747f624b0e3242862e&wsTime=1557752209,,http://vodkgeyttp8.vod.126.net/cloudmusic/da20/core/d9da/9d9b0df3f5c40f730d29014992801896.mp4?wsSecret=4dcfd62b58888aa529dd753c63c7a31a&wsTime=1557752209
361153,Blank Space,Taylor Swift,,http://p1.music.126.net/7a9c_WPNFe3M3jQhB2VqjQ==/6666339000305744.jpg,1682万,2014-11-10,http://vodkgeyttp8.vod.126.net/cloudmusic/IDEwMWA1ICImOSAwICIwZA==/mv/361153/53c54cb94b0db5d03a6f0f0ba4882b05.mp4?wsSecret=43ee9b2e50d0e7f7bfadbe2b92ec0914&wsTime=1557752210,http://vodkgeyttp8.vod.126.net/cloudmusic/IDEwMWA1ICImOSAwICIwZA==/mv/361153/baaeac3331840e0d1ae704b18e05e8a2.mp4?wsSecret=f35ee69078291c818f2570f84e1398e5&wsTime=1557752210,http://vodkgeyttp8.vod.126.net/cloudmusic/IDEwMWA1ICImOSAwICIwZA==/mv/361153/92201ce5947dc05b08ba29a1cbef33cd.mp4?wsSecret=b91ed9cebc53c559c3423cb18db99891&wsTime=1557752210,http://vodkgeyttp8.vod.126.net/cloudmusic/IDEwMWA1ICImOSAwICIwZA==/mv/361153/6c8e2594a4d44949cdb2c5d66fb5cf68.mp4?wsSecret=a44865a1a28a959aebc297378b67aec0&wsTime=1557752210
10864907,Taylor,Wiz Khalifa,美国说唱歌手Wiz Khalifa新单《Taylor》音乐录像带发布！,http://p1.music.126.net/D_Fx9aWYG168iC1qIP_bwQ==/109951164016997074.jpg,2万,2019-04-20,http://vodkgeyttp8.vod.126.net/cloudmusic/e338/core/a2f0/63d15843565e970527f2e230108c1499.mp4?wsSecret=4f5ea35c49ed88d4cd293f3a6aba7ddc&wsTime=1557752211,http://vodkgeyttp8.vod.126.net/cloudmusic/e338/core/a2f0/400e2353981f5ab7d97e36c56f50acd6.mp4?wsSecret=29992eac9742ffc75ad104b31e953c9b&wsTime=1557752211,,http://vodkgeyttp8.vod.126.net/cloudmusic/e338/core/a2f0/1d4543f72a4599202f7e5cef28d95d16.mp4?wsSecret=f4935ab48066a6d658901fbea2304b75&wsTime=1557752211
2655,I Knew You Were Trouble.,Taylor Swift,,http://p1.music.126.net/lzWAPYJZXoncLaZtW1AgJQ==/109951163509451162.jpg,921万,2013-03-26,http://vodkgeyttp8.vod.126.net/cloudmusic/IDgxMSQhYWE1YSAgIDAlYg==/mv/2655/2c5833e5909440a84ba6f64a8b947e9e.mp4?wsSecret=986a636dd1bbf53aee168b2fc71a48f0&wsTime=1557752212,http://vodkgeyttp8.vod.126.net/cloudmusic/IDgxMSQhYWE1YSAgIDAlYg==/mv/2655/1edf61577ff88f3f07bc53acc9b298c8.mp4?wsSecret=50b7f695db77273ab66c405727beef67&wsTime=1557752212,http://vodkgeyttp8.vod.126.net/cloudmusic/IDgxMSQhYWE1YSAgIDAlYg==/mv/2655/a875092fa331cc3f304c1883a3a4dc13.mp4?wsSecret=ed31e3b03ab042cd0f6d06248924a5f1&wsTime=1557752212,http://vodkgeyttp8.vod.126.net/cloudmusic/IDgxMSQhYWE1YSAgIDAlYg==/mv/2655/cd60fc2dc318157905c11011f1ae48ad.mp4?wsSecret=e871b75fdad44c05404df5fc3fe404fd&wsTime=1557752212
5691016,... Ready For It?,Taylor Swift,Taylor Swift「reputation」第二支正式单曲 'Ready For It' 音乐录像带正式首播！,http://p1.music.126.net/8DF60o7DOIkwc8diu058JQ==/109951163051049873.jpg,914万,2017-10-27,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20171027121536/be2092ab-443f-4e63-956a-a6e7dc4e3478/fc46953fc40024c5c7133ce9ddcfc34d.mp4?wsSecret=8c2eb1cd99de228bc9bf8e3f3f52f731&wsTime=1557752213,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20171027121536/be2092ab-443f-4e63-956a-a6e7dc4e3478/0e4480888d69c93675a0de744f7b1799.mp4?wsSecret=f3814e46e2fa0875d739da3815634953&wsTime=1557752213,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20171027121536/be2092ab-443f-4e63-956a-a6e7dc4e3478/0065a5979e32da2323adebff7c4ed525.mp4?wsSecret=705bab313d0c659b68db2e04e3039bb3&wsTime=1557752213,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20171027121536/be2092ab-443f-4e63-956a-a6e7dc4e3478/a1f5894e414352f034ee100115ef6ca1.mp4?wsSecret=00e28ce90790794f3eb9d2a76bff28f7&wsTime=1557752213
5855046,Delicate,Taylor Swift,Taylor Swift新单《Delicate》MV正式发布！,http://p1.music.126.net/OFaVEhK9xswIIDkKA1fDOw==/109951163185884402.jpg,479万,2018-03-12,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20180312013153/27d8b122-492a-4f0c-abde-5f9c69709a8a/e940539c6faedcac7ad408f2dff8869a.mp4?wsSecret=974045b6876e3b647ce233e7539025ff&wsTime=1557752214,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20180312013153/27d8b122-492a-4f0c-abde-5f9c69709a8a/f13dae0dc1fad0eebb138c6fa4532dbc.mp4?wsSecret=bb244c77cd2372d1fe36a9e83fa478c3&wsTime=1557752214,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20180312013153/27d8b122-492a-4f0c-abde-5f9c69709a8a/a39a0e82553dc80e44a67464cb9dca67.mp4?wsSecret=def9fcfb445cb800563c35ce8556b23a&wsTime=1557752214,http://vodkgeyttp8.vod.126.net/cloudmusic/mv/20180312013153/27d8b122-492a-4f0c-abde-5f9c69709a8a/1d22537dcb1d7e432ca037c07ba1d1bd.mp4?wsSecret=e0e16800e872cdbd30daf55c1a36357c&wsTime=1557752214
10866252,泰勒·斯威夫特携新单问候中国乐迷,Taylor Swift,,http://p1.music.126.net/Cs2tJQLTPZCFnuLxu0V5Mw==/109951164026138834.jpg,54万,2019-04-26,http://vodkgeyttp8.vod.126.net/cloudmusic/d4a1/core/b972/3677efee12dff6fdaf04b4783c122454.mp4?wsSecret=101e684390ed25a746e24cf4bcdeb2f3&wsTime=1557752215,http://vodkgeyttp8.vod.126.net/cloudmusic/d4a1/core/b972/0fdb83426c043358efe9b49f246926dd.mp4?wsSecret=02882c3e0a9828c36a9d57195a21b3b9&wsTime=1557752215,,http://vodkgeyttp8.vod.126.net/cloudmusic/d4a1/core/b972/d4512c005e08e2a86cfdafdef5eaee88.mp4?wsSecret=71b8f624f281ee17f40ee8959aec97f0&wsTime=1557752215
